date,avg_sentiment_score,open,high,low,close,volume,price_change,Bearish,Bullish,Neutral
2025-06-15,0.7362188696861267,105464.84375,106157.1015625,104519.8828125,105552.0234375,36744307742.0,87.1796875,0,0,1
2025-06-14,0.7684697508811951,106108.0859375,106203.7578125,104379.3671875,105472.40625,38007870453.0,-635.6796875,0,0,1
2025-06-13,0.8796999653180441,105924.59375,106182.546875,102822.0234375,106090.96875,69550440846.0,166.375,0,0,1
2025-06-12,0.9411605477333069,108685.9140625,108780.6953125,105785.6875,105929.0546875,54843867968.0,-2756.859375,0,0,1
2025-06-11,0.8771388580401739,110261.796875,110384.21875,108086.328125,108686.625,50842662052.0,-1575.171875,0,0,1
2025-06-10,0.8070141196250915,110295.6875,110380.125,108367.7109375,110257.234375,54700101509.0,-38.453125,0,0,1
2025-06-09,0.8449603080749511,105793.0234375,110561.421875,105400.234375,110294.1015625,55903193732.0,4501.078125,0,0,1
2025-06-08,0.9659258127212524,105617.5078125,106497.0625,105075.328125,105793.6484375,36626232328.0,176.140625,0,0,1
2025-06-06,0.9910809397697449,101574.3671875,105376.7734375,101169.5703125,104390.34375,48856653697.0,2815.9765625,0,0,1
2025-06-05,0.8504226605097452,104750.78125,105936.6875,100436.8828125,101575.953125,57479298400.0,-3174.828125,1,0,0
2025-06-04,0.9807823419570922,105434.3671875,105997.6953125,104232.703125,104731.984375,44544857105.0,-702.3828125,0,0,1
2025-06-03,0.9120956137776375,105888.4765625,106813.578125,104920.84375,105432.46875,46196508367.0,-456.0078125,0,0,1
2025-06-02,0.8331809043884277,105649.8125,105958.3125,103727.546875,105881.53125,45819706290.0,231.71875,0,0,1
2025-05-31,0.5232952237129211,103994.71875,104927.1015625,103136.1171875,104638.09375,38997843858.0,643.375,0,1,0
2025-05-30,0.9615786075592041,105646.2109375,106308.9453125,103685.7890625,103998.5703125,57655287183.0,-1647.640625,0,0,1
2025-05-29,0.8395359516143799,107795.5703125,108910.046875,105374.3984375,105641.7578125,56022752042.0,-2153.8125,0,0,1
2025-05-28,0.9690206050872803,108992.171875,109298.2890625,106812.9296875,107802.328125,49155377493.0,-1189.84375,0,0,1
2025-05-27,0.847541834626879,109440.40625,110744.2109375,107609.5546875,108994.640625,57450176272.0,-445.765625,0,0,1
2025-05-26,0.920448637008667,109023.78125,110376.8828125,108735.640625,109440.3671875,45950461571.0,416.5859375,0,0,1
2025-05-25,0.8674125472704569,107802.2734375,109313.3046875,106683.375,109035.390625,47518041841.0,1233.1171875,0,0,1
2025-05-23,0.6949459314346313,111679.359375,111798.90625,106841.3046875,107287.796875,67548133399.0,-4391.5625,0,0,1
2025-05-22,0.8729391892751058,109673.4921875,111970.171875,109285.0703125,111673.28125,70157575642.0,1999.7890625,0,0,1
2025-05-21,0.9394169449806213,106791.3125,110724.4609375,106127.234375,109678.078125,78086364051.0,2886.765625,0,0,1
2025-05-20,0.5749679803848267,105605.40625,107307.1171875,104206.515625,106791.0859375,36515726122.0,1185.6796875,0,1,0
2025-05-19,0.8257859774998256,106430.53125,107068.71875,102112.6875,105606.1796875,61761126647.0,-824.3515625,0,0,1
2025-05-18,0.6663660605748495,103186.953125,106597.171875,103142.6015625,106446.0078125,49887082058.0,3259.0546875,0,0,1
2025-05-17,0.748660433292389,103489.2890625,103716.9453125,102659.1796875,103191.0859375,37898552742.0,-298.203125,0,0,1
2025-05-16,0.7659089763959249,103735.65625,104533.484375,103137.4765625,103489.2890625,44386499364.0,-246.3671875,0,1,0
2025-05-15,0.6441195011138916,103538.828125,104153.6171875,101440.8125,103744.640625,50408241840.0,205.8125,0,0,1
2025-05-14,0.9766229391098022,104167.328125,104303.5625,102618.296875,103539.4140625,45956071155.0,-627.9140625,0,0,1
2025-05-13,0.8693722933530807,102812.4921875,104997.421875,101515.09375,104169.8125,52608876410.0,1357.3203125,0,0,1
2025-05-12,0.7315897464752197,104106.9609375,105747.453125,100814.40625,102812.953125,63250475404.0,-1294.0078125,0,0,1
2025-05-11,0.7576545476913452,104701.0703125,104937.9921875,103364.7421875,104106.359375,46285517406.0,-594.7109375,0,0,1
2025-05-10,0.8117777705192566,102973.7109375,104961.765625,102830.484375,104696.328125,42276713994.0,1722.6171875,0,0,1
2025-05-09,0.7791846735136849,103239.125,104297.4921875,102343.09375,102970.8515625,58198593958.0,-268.2734375,0,0,1
2025-05-08,0.8813970003809247,97034.25,103969.5390625,96913.875,103241.4609375,69895404397.0,6207.2109375,0,0,1
2025-05-07,0.8704591308321271,96800.1953125,97625.8046875,95829.3359375,97032.3203125,76983822462.0,232.125,0,0,1
2025-05-06,0.7973485887050629,94748.3828125,96889.1796875,93399.859375,96802.4765625,26551275827.0,2054.09375,0,0,1
2025-05-05,0.6828602850437164,94319.5625,95193.1875,93566.265625,94748.0546875,25816260327.0,428.4921875,0,0,1
2025-05-03,0.865309496720632,96904.6328125,96943.8828125,95821.2890625,95891.796875,15775154889.0,-1012.8359375,0,0,1
2025-05-02,0.9849581718444824,96494.96875,97905.8984375,96375.9453125,96910.0703125,26421924677.0,415.1015625,0,0,1
2025-05-01,0.9589744806289673,94212.859375,97437.9609375,94153.6328125,96492.3359375,32875889623.0,2279.4765625,0,0,1
2025-04-30,0.767562597990036,94286.46875,95249.3203125,92979.640625,94207.3125,28344679831.0,-79.15625,0,0,1
2025-04-29,0.8764599442481995,94981.859375,95485.4140625,93796.6328125,94284.7890625,25806129921.0,-697.0703125,0,0,1
2025-04-28,0.8373486995697021,93755.3046875,95598.4921875,92860.8046875,94978.75,32363449569.0,1223.4453125,0,0,1
2025-04-27,0.8614022036393484,94660.90625,95301.203125,93665.3984375,93754.84375,18090367764.0,-906.0625,0,0,1
2025-04-26,0.8616848389307658,94714.6484375,95251.359375,93927.25,94646.9296875,17612825123.0,-67.71875,0,0,1
2025-04-25,0.9826397895812988,93954.25,95768.390625,92898.59375,94720.5,40915232364.0,766.25,0,0,1
2025-04-24,0.5742326378822327,93692.3984375,94016.1953125,91696.7109375,93943.796875,31483175315.0,251.3984375,0,0,1
2025-04-23,0.8376205960909525,93427.5859375,94535.734375,91962.9609375,93699.109375,41719568821.0,271.5234375,0,0,1
2025-04-22,0.9387891888618469,87521.875,93817.3828125,87084.53125,93441.890625,55899038456.0,5920.015625,0,0,1
2025-04-21,0.7999060494559151,85171.5390625,88460.09375,85143.8359375,87518.90625,41396190190.0,2347.3671875,0,0,1
2025-04-20,0.6407626271247864,85066.0703125,85306.3828125,83976.84375,85174.3046875,14664050812.0,108.234375,0,0,1
2025-04-19,0.9578731417655945,84450.8671875,85597.703125,84353.4609375,85063.4140625,15259300427.0,612.546875,0,0,1
2025-04-18,0.6376937627792358,84900.1875,85095.046875,84298.8828125,84450.8046875,12728372364.0,-449.3828125,0,0,1
2025-04-17,0.8476173162460328,84030.671875,85449.0703125,83749.75,84895.75,21276866029.0,865.078125,0,0,1
2025-04-16,0.717025101184845,83674.5078125,85428.28125,83100.6171875,84033.8671875,29617804112.0,359.359375,0,0,1
2025-04-15,0.694652646780014,84539.6953125,86429.3515625,83598.8203125,83668.9921875,28040322885.0,-870.703125,0,0,1
2025-04-14,0.8664819955825805,83694.5234375,85785.0,83690.640625,84542.390625,34090769777.0,847.8671875,0,1,0
